id,name,health_category,recipe_category,ingredients,instructions,portion_size,protein,fat,carbs,potassium,fiber,sodium,magnesium,calories,cooking_time,health_score,glycemic_index
1,Gotu Kola sambol,high_blood_pressure,,[],[],1/2 cup (75g cooked).,1.6,0.2,4.6,345.0,2.1,0.1,1.9,26,20,70,50
2,Murunga Leaves Mallum,high_blood_pressure,,[],[],1 serving,2.1,0.1,3.7,259.0,2.0,0.1,1.7,24,20,70,50
3,Bovitiya Tea,high_blood_pressure,,[],[],1 cup (200ml),2.0,1.0,15.0,300.0,2.5,0.5,0.8,77,20,60,50
4,polpala tea,high_blood_pressure,,[],[],1/2 cup (75g cooked).,2.0,1.0,15.0,300.0,2.5,0.5,0.8,77,20,60,50
5,Ranawara Tea,high_blood_pressure,,[],[],1 cup (200ml),2.0,1.0,15.0,300.0,2.5,0.5,0.8,77,20,60,50
6,Iramusu Tea,high_blood_pressure,,[],[],1 cup (200ml),2.0,1.0,15.0,300.0,2.5,0.5,0.8,77,20,60,50
7,Nilkatarolu Juice,high_blood_pressure,,[],[],1/2 cup (100ml),2.0,1.0,15.0,300.0,2.5,0.5,0.8,77,20,60,50
8,Garlic and Tomato Soup,high_blood_pressure,,[],[],1 cup (200ml),0.9,0.2,3.9,237.0,1.2,0.1,0.6,21,20,70,35
9,Fenugreek Drink,high_blood_pressure,,[],[],1 cup (200ml),2.0,1.0,15.0,300.0,2.5,0.5,0.8,77,20,60,50
10,Pumpkin Curry,high_blood_pressure,,[],[],1/2 cup (150g),1.0,0.1,6.5,340.0,0.5,0.1,0.8,30,20,70,50
11,Del (Breadfruit) Curry,high_blood_pressure,,[],[],1/2 cup (150g),1.1,0.2,27.1,490.0,4.9,0.1,1.5,114,20,100,50
12,Squashed Eggplant Curry,high_blood_pressure,,[],[],1 serving,1.0,0.2,5.9,229.0,3.0,0.1,0.7,29,20,70,35
13,Eggplant Curry,high_blood_pressure,,[],[],1 serving,1.0,0.2,5.9,229.0,3.0,0.1,0.7,29,20,70,35
14,Karapincha Soup,high_blood_pressure,,[],[],1 serving,2.0,1.0,15.0,300.0,2.5,0.5,0.8,77,20,60,50
15,Tomato Curry,high_blood_pressure,,[],[],1/2 cup (150g),0.9,0.2,3.9,237.0,1.2,0.1,0.6,21,20,70,35
16,Boiled Red Kawpi,diabetes,,[],[],1/2 cup (75g cooked).,8.7,0.5,20.9,278.0,6.3,0.2,1.8,122,20,85,50
17,Mung Bean Curry,diabetes,,[],[],1/2 cup (150g),7.0,0.4,19.1,266.0,4.1,0.1,1.5,108,20,85,50
18,Boiled Purple Yam,diabetes,,[],[],1/2 cup (75g).,1.5,0.1,27.9,816.0,4.1,0.1,1.2,118,20,100,50
19,Boild manioc,diabetes,,[],[],1 serving,1.4,0.3,38.1,271.0,1.8,0.1,1.1,160,20,70,50
20,Papaya Curry,diabetes,,[],[],1/2 cup (150g),0.5,0.3,10.8,182.0,1.7,0.1,0.9,47,20,70,45
21,Thebu-Kola-Sambol,diabetes,,[],[],1/2 cup (75g cooked).,2.5,0.3,4.8,420.0,2.5,0.1,2.0,31,20,85,50
22,Aguna Kola Mallum,diabetes,,[],[],1/2 cup (50g cooked).,2.2,0.2,4.5,380.0,2.3,0.1,1.8,28,20,70,50
23,Ambra-Juice,diabetes,,[],[],1/2 cup (75g cooked).,2.0,1.0,15.0,300.0,2.5,0.5,0.8,77,20,60,50
24,Nelli,diabetes,,[],[],1/2 cup (100ml),0.9,0.6,10.2,198.0,4.3,0.1,1.0,49,20,85,45
25,Kohila,diabetes,,[],[],1/2 cup (75g cooked).,2.0,1.0,15.0,300.0,2.5,0.5,0.8,77,20,60,50
26,starfruit-salad,diabetes,,[],[],1/2 cup (75g cooked).,1.0,0.3,6.7,133.0,2.8,0.1,0.8,33,20,70,50
27,Karawila Curry,diabetes,,[],[],1/2 cup (75g cooked).,2.0,1.0,15.0,300.0,2.5,0.5,0.8,77,20,60,50
28,Brown rice,diabetes,,[],[],1/2 cup (150g),2.6,0.9,23.0,43.0,1.8,0.1,0.8,110,20,70,55
29,Gotu Kola sambol,both,,[],[],1/2 cup (75g cooked).,1.6,0.2,4.6,345.0,2.1,0.1,1.9,26,20,70,50
30,Ash Banana (Alu Kesel) Curry,both,,[],[],1/2 cup (150g),1.1,0.3,22.8,358.0,2.6,0.1,1.3,98,20,70,45
31,Belimal Tea,both,,[],[],1 cup (200ml),2.0,1.0,15.0,300.0,2.5,0.5,0.8,77,20,60,50
32,Cabbage Curry,both,,[],[],1/2 cup (150g),1.3,0.1,5.8,170.0,2.5,0.2,0.7,29,20,70,35
33,Chick peas,both,,[],[],1/2 cup (75g cooked).,2.0,1.0,15.0,300.0,2.5,0.5,0.8,77,20,60,50
34,Eggplant and Tomato Stir Fry,both,,[],[],1/2 cup (100g),0.95,0.2,4.9,233.0,2.1,0.1,0.6499999999999999,25,20,70,35
35,Gotu Kola Herbal Tea,both,,[],[],1 cup (200ml),1.6,0.2,4.6,345.0,2.1,0.1,1.9,26,20,70,50
36,Halmasso Fish Curry )Sri Lankan Sprats Curry,both,,[],[],1/2 cup (75g cooked).,19.5,1.75,0.0,335.0,0.0,0.65,2.35,93,20,60,50
37,Kathurumurunga Mallum,both,,[],[],1/2 cup (50g cooked).,2.1,0.1,3.7,259.0,2.0,0.1,1.7,24,20,70,50
38,Kesel Muwa Curry,both,,[],[],1/2 cup (75g cooked).,2.0,1.0,15.0,300.0,2.5,0.5,0.8,77,20,60,50
39,Kohila,both,,[],[],1/2 cup (75g cooked).,2.0,1.0,15.0,300.0,2.5,0.5,0.8,77,20,60,50
40,Kola Kanda,both,,[],[],1 cup (200ml),2.0,1.0,15.0,300.0,2.5,0.5,0.8,77,20,60,50
41,Kurakkan Bread,both,,[],[],1/2 cup (75g cooked).,7.3,1.3,72.6,408.0,11.5,0.1,2.8,331,20,100,55
42,Kurakkan Kanda,both,,[],[],1 bowl (150g),7.3,1.3,72.6,408.0,11.5,0.1,2.8,331,20,100,55
43,Kurakkan Pittu,both,,[],[],2 pieces (150g),7.3,1.3,72.6,408.0,11.5,0.1,2.8,331,20,100,55
44,Kurakkan Roti,both,,[],[],2 roti (100g),7.3,1.3,72.6,408.0,11.5,0.1,2.8,331,20,100,55
45,Lime & Ginger Tea,both,,[],[],1 cup (200ml),2.0,1.0,15.0,300.0,2.5,0.5,0.8,77,20,60,50
46,Lunu Kanda,both,,[],[],1 bowl (200g),2.0,1.0,15.0,300.0,2.5,0.5,0.8,77,20,60,50
47,Mugunuwanna Mallum,both,,[],[],1/2 cup (50g cooked).,2.9,0.4,5.2,558.0,2.2,0.2,2.1,36,20,85,50
48,Mung Bean Curry,both,,[],[],1/2 cup (150g),7.0,0.4,19.1,266.0,4.1,0.1,1.5,108,20,85,50
49,Roasted Chickpeas,both,,[],[],1/4 cup (40g),8.9,2.6,27.4,291.0,7.6,0.2,2.4,168,20,85,50
50,Thampala,both,,[],[],1/2 cup (75g cooked).,2.0,1.0,15.0,300.0,2.5,0.5,0.8,77,20,60,50
51,Tomato Curry,both,,[],[],1/2 cup (150g),0.9,0.2,3.9,237.0,1.2,0.1,0.6,21,20,70,35
52,Turmeric Tea,both,,[],[],1 cup (200ml),2.0,1.0,15.0,300.0,2.5,0.5,0.8,77,20,60,50
53,white_kawpi,both,,[],[],1/2 cup (75g cooked).,8.7,0.5,20.9,278.0,6.3,0.2,1.8,122,20,85,50
